"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"312",22704,2843625.23548164,1178034.94322316,2201281.70437951,469006.456641947,2762913.96727564,994215.310947586,2622079.68123726,303042.113113123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313",22777,2854975.08726566,1183388.83801926,2209522.49954268,471200.1783295,2772600.58149991,998777.7526231,2630931.38026699,304115.997127142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",22850,2858470.97338381,1186510.14298772,2216772.43320845,472157.180025217,2781170.43063056,1001327.33779153,2639863.48331899,304270.954410102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",22923,2858580.41980542,1188139.99543917,2223464.09185823,472423.608237804,2788592.96367305,1002560.97922512,2647914.6393733,304053.793001688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",22996,2867570.72843264,1190847.8683337,2231158.79835851,473530.622936351,2797647.94083205,1004827.1392883,2658925.78527947,305167.801403974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",23069,2889975.84062442,1197247.84125551,2240649.71571273,476639.649912048,2809298.32848733,1010424.45104185,2671138.61026484,307956.034499268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318",23142,2901324.74237807,1202601.45375802,2248890.46795463,478833.411692966,2818984.94346455,1014987.56357851,2679991.47301611,309029.977659609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",23215,2904825.57834311,1205724.14947449,2256140.37621663,479791.640054916,2827554.09291912,1017537.23377964,2688924.74230856,309184.582513901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320",23288,2904932.57116433,1207354.72829138,2262832.91758701,480057.435385834,2834976.47007153,1018770.59360651,2696977.25417701,308966.016986452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321",23361,2913922.73287048,1210062.16619131,2270527.63301109,481164.597442077,2844031.29864571,1021044.63766962,2707989.53439189,310080.515685974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
