"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"84",6060,1518.46429184401,1532.83651414392,1400.66253591763,1434.15130569606,1513.32966107968,1533.73235336329,1493.59828369108,1549.71387107739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",6133,1523.01576225127,1537.10823976896,1405.54706032591,1438.39326247057,1517.95948476171,1537.96518807589,1499.25626739698,1554.63476886756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",6206,1527.47867122536,1541.29684705057,1410.33651243165,1442.55178730429,1522.4992223212,1542.11565811954,1504.80239416247,1559.44302184594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",6279,1531.85474197503,1545.40395332559,1415.03274627553,1446.62858963673,1526.95062665613,1546.18536667486,1510.23897618159,1564.14157746198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",6352,1536.14566417892,1549.43114445007,1419.63757925704,1450.62533735511,1531.31541655231,1550.17588563613,1515.56827022527,1568.73329201876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",6425,1540.35309463801,1553.37997541131,1424.15279292453,1454.54365840166,1535.59527734792,1554.08875622642,1520.79247952182,1573.220933958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",6498,1544.47865791545,1557.2519709272,1428.58013373953,1458.38514227277,1539.79186158513,1557.92548959343,1525.91375553911,1577.60718701352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",6571,1548.52394696388,1561.04862603258,1432.92131381701,1462.15134141929,1543.90678964872,1561.68756744352,1530.93419967525,1581.89465323881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",6644,1552.49052374051,1564.77140668834,1437.17801164337,1465.84377255687,1547.94165039254,1565.37644263418,1535.85586486374,1586.08585591399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",6717,1556.37991981026,1568.42175034029,1441.35187277373,1469.46391789388,1551.89800175349,1568.9935396987,1540.68075709893,1590.18324233725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",6790,1560.19363693718,1572.00106645479,1445.44451050977,1473.01322628422,1555.77737135325,1572.54025542645,1545.41083688701,1594.18918650569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",6863,1563.93314766429,1575.51073707259,1449.45750655931,1476.49311431123,1559.58125708858,1576.01795941963,1550.04802062745,1598.10599169025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",6936,1567.59989588216,1578.95211734313,1453.3924116787,1479.90496730867,1563.31112770984,1579.42799459835,1554.59418192935,1601.93589290912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",7009,1571.19529738647,1582.3265360463,1457.25074629896,1483.25014032393,1566.96842338784,1582.7716777357,1559.05115286702,1605.68105930396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",7082,1574.72074042464,1585.63529610632,1461.03400113645,1486.52995902828,1570.55455627037,1586.05029996148,1563.42072517857,1609.34359642305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",7155,1578.17758623191,1588.87967509503,1464.74363778882,1489.74572057849,1574.07091102769,1589.26512725189,1567.70465141117,1612.92554841516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",7228,1581.5671695569,1592.06092572529,1468.38108931723,1492.89869443373,1577.51884538717,1592.41740095239,1571.90464601637,1616.428900138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",7301,1584.89079917699,1595.1802763347,1471.94776081476,1495.99012313135,1580.89969065758,1595.50833826746,1576.0223863984,1619.85557918478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",7374,1588.14975840368,1598.23893135985,1475.44502996152,1499.02122302466,1584.21475224318,1598.53913269733,1580.05951391864,1623.20745783224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",7447,1591.34530557812,1601.23807180152,1478.87424756838,1501.99318498582,1587.46531014787,1601.51095451563,1584.01763485856,1626.48635491356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",7520,1594.47867455692,1604.17885568075,1482.23673810851,1504.90717507644,1590.65261946944,1604.4249512207,1587.898321344,1629.69403761917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
